Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
4.19363,0.0,0.0,0.0,0.0,25.64191,0.0,25.0
4.19299,0.0,0.0,0.0,0.0,25.64191,59.99400168657303,25.0
4.19235,0.0,0.0,0.0,0.0,25.6307,120.00400610268116,25.0
4.1917,0.0,0.0,0.0,0.0,25.6307,179.99600619077682,25.0
4.19106,0.0,0.0,0.0,0.0,25.64191,240.003003180027,25.0
4.19042,0.0,0.0,0.0,0.0,25.6307,300.00200383365154,25.0
4.19042,0.0,0.0,0.0,0.0,25.85486,359.9990028887987,25.0
4.18977,0.0,0.0,0.0,0.0,25.64191,420.00300250947475,25.0
4.18913,0.0,0.0,0.0,0.0,25.6307,479.9970041960478,25.0
4.18913,0.0,0.0,0.0,0.0,25.64191,540.0010038167238,25.0
4.18849,0.0,0.0,0.0,0.0,25.65312,600.0030018389225,25.0
4.18849,0.0,0.0,0.0,0.0,25.64191,659.9990051239729,25.0
4.18849,0.0,0.0,0.0,0.0,25.6307,720.0040005147457,25.0
4.18784,0.0,0.0,0.0,0.0,25.64191,780.0030011683702,25.0
4.18784,0.0,0.0,0.0,0.0,25.6307,839.9940054863691,25.0
4.18784,0.0,0.0,0.0,0.0,25.6307,900.0039998441935,25.0
4.1872,0.0,0.0,0.0,0.0,25.42895,959.9990073591471,25.0
4.1872,0.0,0.0,0.0,0.0,25.64191,1019.9960064142942,25.0
4.18656,0.0,0.0,0.0,0.0,25.64191,1080.0030034035444,25.0
4.18656,0.0,0.0,0.0,0.0,25.6307,1139.9990066885948,25.0
4.18656,0.0,0.0,0.0,0.0,25.64191,1199.999998882413,25.0
4.18591,0.0,0.0,0.0,0.0,25.65312,1259.9980037659407,25.0
4.18591,0.0,0.0,0.0,0.0,25.64191,1320.0000017881393,25.0
4.18591,0.0,0.0,0.0,0.0,25.64191,1380.0030056387186,25.0
4.18591,0.0,0.0,0.0,0.0,25.64191,1439.9970073252916,25.0
4.18591,0.0,0.0,0.0,0.0,25.65312,1500.0010069459677,25.0
4.18527,0.0,0.0,0.0,0.0,25.64191,1560.0030049681664,25.0
4.18527,0.0,0.0,0.0,0.0,25.64191,1619.9990082532167,25.0
4.18527,0.0,0.0,0.0,0.0,25.64191,1679.996007308364,25.0
4.18527,0.0,0.0,0.0,0.0,25.44016,1740.003004297614,25.0
4.18463,0.0,0.0,0.0,0.0,25.64191,1799.994008615613,25.0
4.18463,0.0,0.0,0.0,0.0,25.64191,1859.9929992109537,25.0
4.18463,0.0,0.0,0.0,0.0,25.64191,1920.0050052255392,25.0
4.18463,0.0,0.0,0.0,0.0,25.64191,1980.000002682209,25.0
4.18463,0.0,0.0,0.0,0.0,25.6307,2040.001004934311,25.0
4.18398,0.0,0.0,0.0,0.0,25.64191,2099.995006620884,25.0
4.18398,0.0,0.0,0.0,0.0,25.55224,2159.992005676031,25.0
4.18398,0.0,0.0,0.0,0.0,25.64191,2219.9980068951845,25.0
4.18398,0.0,0.0,0.0,0.0,25.64191,2279.9930043518543,25.0
4.18398,0.0,0.0,0.0,0.0,25.64191,2339.995002374053,25.0
4.18334,0.0,0.0,0.0,0.0,25.6307,2399.999001994729,25.0
4.18334,0.0,0.0,0.0,0.0,25.44016,2460.0020058453083,25.0
4.18334,0.0,0.0,0.0,0.0,25.6307,2520.0049996376038,25.0
4.18334,0.0,0.0,0.0,0.0,25.64191,2579.9960039556026,25.0
4.18334,0.0,0.0,0.0,0.0,25.6307,2639.99300301075,25.0
4.18334,0.0,0.0,0.0,0.0,25.64191,2699.999004229903,25.0
4.18334,0.0,0.0,0.0,0.0,25.6307,2760.001002252102,25.0
4.1827,0.0,0.0,0.0,0.0,25.64191,2820.001008734107,25.0
4.1827,0.0,0.0,0.0,0.0,25.6307,2879.996006190777,25.0
4.1827,0.0,0.0,0.0,0.0,25.6307,2940.0010015815496,25.0
4.1827,0.0,0.0,0.0,0.0,25.6307,2999.9950032681227,25.0
4.1827,0.0,0.0,0.0,0.0,25.6307,3060.002000257373,25.0
4.1827,0.0,0.0,0.0,0.0,25.64191,3120.0010009109974,25.0
4.1827,0.0,0.0,0.0,0.0,25.64191,3179.9940068274736,25.0
4.1827,0.0,0.0,0.0,0.0,25.41774,3240.0019995868206,25.0
4.1827,0.0,0.0,0.0,0.0,25.42895,3299.9939996749163,25.0
4.1827,0.0,0.0,0.0,0.0,25.44016,3359.9970035254955,25.0
4.1827,0.0,0.0,0.0,0.0,25.64191,3420.0050063431263,25.0
4.18205,0.0,0.0,0.0,0.0,25.64191,3479.997006431222,25.0
4.18205,0.0,0.0,0.0,0.0,25.44016,3539.995001256466,25.0
4.18205,0.0,0.0,0.0,0.0,25.44016,3540.008006617427,25.0
