Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
2.98792,0.0,0.0,,0.0,26.46011,0.0,0.0
3.02781,0.0,0.0,,0.0,26.47131,59.992000088095665,0.0
3.04453,0.0,0.0,,0.0,26.25836,120.00300027430058,0.0
3.05354,0.0,0.0,,0.0,26.0454,179.99999932944775,0.0
3.05805,0.0,0.0,,0.0,26.0454,239.99500684440136,0.0
3.06191,0.0,0.0,,0.0,26.05661,299.99599903821945,0.0
3.06384,0.0,0.0,,0.0,26.0454,360.00200025737286,0.0
3.06577,0.0,0.0,,0.0,25.83245,419.9940003454685,0.0
3.06641,0.0,0.0,,0.0,25.84366,479.9959983676672,0.0
3.0677,0.0,0.0,,0.0,25.6307,539.9949990212917,0.0
3.0677,0.0,0.0,,0.0,25.6307,540.0060027837753,0.0
3.46403,2.89997,0.04833,,10.045583079100002,25.83245,600.017998740077,0.0
3.53995,2.89997,0.09665,,10.265748801500001,26.05661,660.0210025906563,0.0
3.55474,2.89997,0.14498,,10.3086393578,26.46011,720.0139984488487,0.0
3.56954,2.89997,0.19331,,10.3515589138,26.87481,780.0160065293312,0.0
3.58434,2.89916,0.24163,,10.391575154400002,27.30072,840.0160029530525,0.0
3.59978,2.89997,0.28996,,10.4392540066,27.50247,900.015003606677,0.0
3.61458,2.89997,0.33829,,10.482173562600002,27.71543,960.0199989974499,0.0
3.62938,2.89916,0.38661,,10.5221533208,27.92838,1020.0160022825003,0.0
3.64289,2.89997,0.43494,,10.5642717133,28.13013,1080.01099973917,0.0
3.65447,2.89916,0.48326,,10.5948932452,28.35429,1140.0199983268976,0.0
3.66605,2.89916,0.53159,,10.628465518,28.34309,1200.0169973820448,0.0
3.67699,2.89916,0.57991,,10.660182328400001,28.55604,1260.0159980356693,0.0
3.68793,2.89997,0.62824,,10.694886362100002,28.55604,1320.0149986892939,0.0
3.69951,2.89997,0.67657,,10.7284680147,28.56725,1380.0230015069246,0.0
3.71045,2.89916,0.72489,,10.757188222,28.769,1440.015997365117,0.0
3.72138,2.89997,0.77322,,10.7918903586,28.75779,1500.0190012156963,0.0
3.73232,2.89916,0.82155,,10.8205928512,28.75779,1560.0180018693209,0.0
3.74262,2.89916,0.86987,,10.850454199200001,28.769,1620.0190041214228,0.0
3.75355,2.89997,0.9182,,10.885182393500001,28.97074,1680.0110042095184,0.0
3.76449,2.89997,0.96652,,10.9169080653,28.97074,1740.013002231717,0.0
3.77607,2.89916,1.01485,,10.9474311012,28.97074,1800.0210050493479,0.0
3.78765,2.89997,1.06318,,10.9840713705,28.97074,1860.0189998745918,0.0
3.79988,2.89997,1.1115,,11.019538003600001,29.1837,1920.0180005282164,0.0
3.81274,2.89997,1.15983,,11.0568316178,29.1837,1980.0210043787956,0.0
3.82626,2.89997,1.20816,,11.096039212200001,29.1837,2040.014000236988,0.0
3.84041,2.89997,1.25648,,11.1370737877,29.39666,2100.012005120516,0.0
3.85457,2.89997,1.30481,,11.1781373629,29.39666,2160.0180063396692,0.0
3.87001,2.89916,1.35313,,11.219778191600001,29.39666,2220.013999566436,0.0
3.88545,2.89916,1.40146,,11.264541222,29.39666,2280.014006048441,0.0
3.90153,2.89997,1.44979,,11.314319954100002,29.5984,2340.018005669117,0.0
3.91826,2.89916,1.49811,,11.359662661600002,29.5984,2400.0200036913157,0.0
3.93499,2.89997,1.54644,,11.411352950300001,29.5984,2460.0150011479855,0.0
3.95172,2.89997,1.59477,,11.459869448400001,29.80015,2520.0219981372356,0.0
3.96909,2.89997,1.64309,,11.510241927300001,29.80015,2580.015004053712,0.0
3.98646,2.89997,1.69142,,11.560614406200001,29.80015,2640.019003674388,0.0
4.00319,2.89916,1.73975,,11.6058883204,29.81136,2700.0219974666834,0.0
4.01992,2.89997,1.78806,,11.6576474024,29.80015,2760.013997554779,0.0
4.03729,2.89916,1.83639,,11.704749676399999,29.80015,2820.014999806881,0.0
4.05402,2.89997,1.88472,,11.756536379400002,29.80015,2880.0110030919313,0.0
4.07139,2.89916,1.93305,,11.803611032400001,30.02432,2940.0180000811815,0.0
4.0894,2.89916,1.98138,,11.855824904000002,30.02432,3000.021003931761,0.0
4.10806,2.89916,2.0297,,11.9099232296,30.01311,3060.021000355482,0.0
4.12672,2.89997,2.07803,,11.9673641984,30.01311,3120.0200010091066,0.0
4.14602,2.89916,2.12635,,12.0199753432,30.22606,3180.0219990313053,0.0
4.16468,2.89916,2.17468,,12.0740736688,30.23727,3240.013003349304,0.0
4.1827,2.89997,2.223,,12.129704518999999,30.22606,3300.0159971415997,0.0
4.19942,2.85342,2.2713,,11.9827090164,30.22606,3360.0200068205595,0.0
4.20007,2.47694,2.3155,,10.4033213858,30.23727,3420.0189974159002,0.0
4.20007,2.17314,2.35417,,9.127340119800001,30.02432,3480.0210054963827,0.0
4.20007,1.91099,2.38813,,8.0262917693,29.80015,3540.0200061500072,0.0
4.20007,1.69784,2.41814,,7.1310468488000005,29.5984,3600.0130020081997,0.0
4.19942,1.51328,2.44485,,6.3548982976,29.39666,3660.0179973989725,0.0
4.20007,1.35893,2.46878,,5.7076011251,28.97074,3720.0189996510744,0.0
4.20007,1.22663,2.49033,,5.151931864100001,28.769,3780.0130013376474,0.0
4.20007,1.1172,2.50984,,4.692318204,28.56725,3840.012001991272,0.0
4.20007,1.01838,2.5276,,4.277267286600001,28.13013,3900.0210005789995,0.0
4.20007,0.93916,2.54389,,3.9445377412,27.92838,3960.0220028311014,0.0
