Time,Current_filt,Voltage_filt,Temp_degC_filt,Chamber_Temp_degC_filt,Current_norm,Voltage_norm,Temp_degC_norm,SOC
0.0,0.0,3.09729,26.47131,25.0,0.3655721851201757,-2.4821953413856908,-0.05815641702121619,0.0
0.0,0.0,3.09729,26.47131,25.0,0.3655721851201757,-2.4821953413856908,-0.05815641702121619,0.0
60.017004981637,2.89997,3.46982,26.47131,25.0,1.9678133237097906,-0.9431809250225865,-0.05815641702121619,0.016337793453818573
120.01700140535831,2.89997,3.53094,26.47131,25.0,1.9678133237097906,-0.6906789489988746,-0.05815641702121619,0.03267095684810221
180.01199886202812,2.89916,3.54381,26.88602,25.0,1.9673657965552829,-0.637509766547547,1.0978789806174352,0.04899819773794409
240.01099951565263,2.89997,3.55796,27.31193,25.0,1.9678133237097906,-0.5790525845983409,2.2851352228307427,0.06533109006428332
300.0100001692772,2.89997,3.5734,27.52489,25.0,1.9678133237097906,-0.5152660906551787,2.878777281814433,0.08166398239062257
360.01199819147587,2.89997,3.58884,27.73784,25.0,1.9678133237097906,-0.4514795967120166,3.47239146504404,0.09799769065885502
420.01300044357777,2.89916,3.60429,27.92838,25.0,1.9673657965552829,-0.3876517902727752,4.003536083370271,0.11432656571397184
480.01400269567966,2.89997,3.61973,28.14134,25.0,1.9678133237097906,-0.3238652963296131,4.597178142353962,0.13066000291425992
540.0099959224463,2.89916,3.63388,28.35429,25.0,1.9673657965552829,-0.26540811438040696,5.190792325583569,0.14698751479633332
600.0089965760708,2.89997,3.64675,28.35429,25.0,1.9678133237097906,-0.21223893192907936,5.190792325583569,0.16332040712267257
660.0090030580759,2.89997,3.65833,28.56725,25.0,1.9678133237097906,-0.16439906147170777,5.78443438456727,0.17965357325501624
720.0119968503714,2.89916,3.67056,28.56725,25.0,1.9673657965552829,-0.11387387876931852,5.78443438456727,0.19598299029459612
780.017002299428,2.89916,3.68278,28.56725,25.0,1.9673657965552829,-0.06339000856300674,5.78443438456727,0.2123129547932296
840.0119997560978,2.89916,3.69436,28.78021,25.0,1.9673657965552829,-0.01555013810563515,6.37807644355096,0.22864019568307148
900.008998811245,2.89997,3.70594,28.78021,25.0,1.9678133237097906,0.03228973235173644,6.37807644355096,0.2449725431354619
960.0109968334436,2.89916,3.71688,28.78021,25.0,1.9673657965552829,0.07748560306016967,6.37807644355096,0.26130168918281027
1020.0110033154488,2.89916,3.72782,28.98195,25.0,1.9673657965552829,0.12268147376860108,6.940441906451837,0.27763029324569555
1080.0130013376474,2.89916,3.73875,28.99316,25.0,1.9673657965552829,0.16783603198095687,6.971690626780567,0.2939594392930439
1140.0129977613688,2.89916,3.74969,28.98195,25.0,1.9673657965552829,0.21303190268939012,6.940441906451837,0.31028804061863396
1200.0090010464191,2.89916,3.76063,28.98195,25.0,1.9673657965552829,0.2582277733978215,6.940441906451837,0.3266155552380026
1260.0150022655723,2.89997,3.77157,28.98195,25.0,1.9678133237097906,0.3034236441062548,6.940441906451837,0.34295035325413264
1320.0070023536682,2.89916,3.78315,28.98195,25.0,1.9673657965552829,0.35126351456362637,6.940441906451837,0.35927677842998473
1380.0110019743445,2.89916,3.79537,29.19491,25.0,1.9673657965552829,0.4017473847699381,7.534083965435528,0.37560646919909146
1440.0100026279688,2.89916,3.8076,29.19491,25.0,1.9673657965552829,0.4522725674723255,7.534083965435528,0.3919347995324499
1500.0120006501677,2.89916,3.82047,29.40786,25.0,1.9673657965552829,0.5054417499236531,8.127698148665134,0.40826394557979834
