Time,Current_filt,Voltage_filt,Temp_degC_filt,Chamber_Temp_degC_filt,Current_norm,Voltage_norm,Temp_degC_norm,SOC
0.0,0.0,4.18141,0.9697026000000002,1.0,0.0,3.8770838770456573,-2.1023448447684707,1.0
60.00699698925018,0.0,4.18077,1.1847922,1.0,0.0,3.569242563014998,-2.066834820288146,1.0
119.99899707734583,0.0,4.17948,1.3885596999999998,2.0,0.0,2.9487499144217035,-2.0331940077463284,1.0
180.00399246811867,0.0,4.17884,1.8074067,3.0,0.0,2.6409086003910445,-1.964044838174622,1.0
240.0019973516464,0.0,4.17884,2.0224963,3.0,0.0,2.6409086003910445,-1.9285348136942972,1.0
300.0029996037483,0.0,4.17819,2.4526654000000003,4.0,0.0,2.3282572658284093,-1.8575164321840836,1.0
360.004997625947,0.0,4.17819,2.6564329000000004,4.0,0.0,2.3282572658284093,-1.8238756196422659,1.0
420.00399827957153,0.0,4.17755,3.086602,4.0,0.0,2.0204159517977502,-1.7528572381320526,1.0
480.00500053167343,0.0,4.17691,3.2790474,5.0,0.0,1.712574637767091,-1.7210856375287418,1.0
540.0019995868206,0.0,4.17691,3.5167711,5.0,0.0,1.712574637767091,-1.681838856621839,1.0
600.0010002404451,0.0,4.17691,3.7205386,5.0,0.0,1.712574637767091,-1.6481980440800215,1.0
660.0019924342632,0.0,4.17626,4.1393856,6.0,0.0,1.3999233032044558,-1.5790488745083147,1.0
720.0069978833199,0.0,4.17626,4.569554699999999,6.0,0.0,1.3999233032044558,-1.5080304929981012,1.0
780.0019953399897,0.0,4.17626,4.7733222,6.0,0.0,1.3999233032044558,-1.4743896804562837,1.0
840.0079965591431,0.0,4.17562,5.2034913,6.0,0.0,1.0920819891737965,-1.40337129894607,1.0
900.0060014426708,0.0,4.17562,5.4072588,7.0,0.0,1.0920819891737965,-1.369730486404252,1.0
960.0049920380116,0.0,4.17562,5.611026300000001,7.0,0.0,1.0920819891737965,-1.3360896738624344,1.0
